State,County,"MCO Name","Service Category","Number of Active Patients","Number of Eligible MCO Patients","Number of Providers","Percent Of Eligible Patients Receiving Services","Number of Services per Active Patient","Number of Active Patients per Provider","Calendar Year","Plan Category"
"New Mexico",Mckinley,"Western Sky Community Care","Pediatric Dental",208,547,6,38.03%,6,35:01:00,2024,Comprehensive MCO
"New Mexico",Mckinley,"United Healthcare","Pediatric Dental",44,345,2,12.75%,6,22:01,2024,Comprehensive MCO
"New Mexico",Mckinley,"Presbyterian Hp","Pediatric Dental","3,283","6,861",8,47.85%,9,411:01:00,2024,Comprehensive MCO
"New Mexico",Mckinley,Molina,"Pediatric Dental",91,475,5,19.16%,6,19:01,2024,Comprehensive MCO
"New Mexico",Mckinley,Bcbs,"Pediatric Dental","1,884","3,956",9,47.62%,10,210:01:00,2024,Comprehensive MCO
"New Mexico",Mora,"Western Sky Community Care","Pediatric Dental",*,*,0,33.33%,6,*,2020,Comprehensive MCO
"New Mexico",Mora,"Presbyterian Hp","Pediatric Dental",66,145,2,45.52%,8,33:01:00,2020,Comprehensive MCO
"New Mexico",Mora,Bcbs,"Pediatric Dental",*,*,2,45.59%,7,*,2020,Comprehensive MCO
"New Mexico",Mora,"Western Sky Community Care","Pediatric Dental",*,*,1,47.06%,10,*,2021,Comprehensive MCO
"New Mexico",Mora,"Presbyterian Hp","Pediatric Dental",73,161,2,45.34%,9,37:01:00,2021,Comprehensive MCO
"New Mexico",Mora,Bcbs,"Pediatric Dental",*,*,2,38.24%,8,*,2021,Comprehensive MCO
"New Mexico",Mora,"Western Sky Community Care","Pediatric Dental",*,*,1,42.86%,8,*,2022,Comprehensive MCO
"New Mexico",Mora,"Presbyterian Hp","Pediatric Dental",79,205,3,38.54%,8,27:01:00,2022,Comprehensive MCO
"New Mexico",Mora,Bcbs,"Pediatric Dental",*,*,3,45.12%,11,*,2022,Comprehensive MCO
"New Mexico",Mora,"Western Sky Community Care","Pediatric Dental",*,*,1,50.00%,9,*,2023,Comprehensive MCO
"New Mexico",Mora,"Presbyterian Hp","Pediatric Dental",91,203,3,44.83%,8,31:01:00,2023,Comprehensive MCO
"New Mexico",Mora,Bcbs,"Pediatric Dental",38,86,3,44.19%,11,13:01,2023,Comprehensive MCO
"New Mexico",Mora,"Western Sky Community Care","Pediatric Dental",*,*,1,46.15%,5,*,2024,Comprehensive MCO
"New Mexico",Mora,"United Healthcare","Pediatric Dental",*,*,1,24.00%,8,*,2024,Comprehensive MCO
"New Mexico",Mora,"Presbyterian Hp","Pediatric Dental",115,219,3,52.51%,8,39:01:00,2024,Comprehensive MCO
"New Mexico",Mora,Molina,"Pediatric Dental",*,*,1,0.00%,,*,2024,Comprehensive MCO
"New Mexico",Mora,Bcbs,"Pediatric Dental",39,80,3,48.75%,8,13:01,2024,Comprehensive MCO
"New Mexico",Otero,"Western Sky Community Care","Pediatric Dental",107,354,6,30.23%,7,18:01,2020,Comprehensive MCO
"New Mexico",Otero,Bcbs,"Pediatric Dental",496,"1,173",7,42.28%,9,71:01:00,2020,Comprehensive MCO
"New Mexico",Otero,"Presbyterian Hp","Pediatric Dental",779,"1,623",7,48.00%,8,112:01:00,2020,Comprehensive MCO
"New Mexico",Otero,"Western Sky Community Care","Pediatric Dental",156,427,5,36.53%,9,32:01:00,2021,Comprehensive MCO
"New Mexico",Otero,"Presbyterian Hp","Pediatric Dental",964,"1,834",7,52.56%,10,138:01:00,2021,Comprehensive MCO
"New Mexico",Otero,Bcbs,"Pediatric Dental",627,"1,425",7,44.00%,10,90:01:00,2021,Comprehensive MCO
"New Mexico",Otero,"Western Sky Community Care","Pediatric Dental",174,519,6,33.53%,10,29:01:00,2022,Comprehensive MCO
"New Mexico",Otero,"Presbyterian Hp","Pediatric Dental","1,125","2,255",7,49.89%,9,161:01:00,2022,Comprehensive MCO
"New Mexico",Otero,Bcbs,"Pediatric Dental",825,"1,756",8,46.98%,10,104:01:00,2022,Comprehensive MCO
"New Mexico",Otero,"Western Sky Community Care","Pediatric Dental",232,708,6,32.77%,9,39:01:00,2023,Comprehensive MCO
"New Mexico",Otero,"Presbyterian Hp","Pediatric Dental","1,366","2,887",7,47.32%,10,196:01:00,2023,Comprehensive MCO
"New Mexico",Otero,Bcbs,"Pediatric Dental","1,035","2,213",7,46.77%,11,148:01:00,2023,Comprehensive MCO
"New Mexico",Otero,"Western Sky Community Care","Pediatric Dental",278,863,4,32.21%,6,70:01:00,2024,Comprehensive MCO
"New Mexico",Otero,"United Healthcare","Pediatric Dental",85,500,5,17.00%,7,17:01,2024,Comprehensive MCO
"New Mexico",Otero,"Presbyterian Hp","Pediatric Dental","2,134","4,508",6,47.34%,9,356:01:00,2024,Comprehensive MCO
"New Mexico",Otero,Bcbs,"Pediatric Dental","1,602","3,492",6,45.88%,10,267:01:00,2024,Comprehensive MCO
"New Mexico",Otero,Molina,"Pediatric Dental",100,489,6,20.45%,8,17:01,2024,Comprehensive MCO
"New Mexico",Quay,"Western Sky Community Care","Pediatric Dental",15,38,1,39.47%,5,15:01,2020,Comprehensive MCO
"New Mexico",Quay,"Presbyterian Hp","Pediatric Dental",83,328,0,25.30%,7,0,2020,Comprehensive MCO
"New Mexico",Quay,Bcbs,"Pediatric Dental",61,184,1,33.15%,8,61:01:00,2020,Comprehensive MCO
"New Mexico",Quay,"Western Sky Community Care","Pediatric Dental",*,*,2,33.33%,6,*,2021,Comprehensive MCO
"New Mexico",Quay,"Presbyterian Hp","Pediatric Dental",142,401,1,35.41%,9,142:01:00,2021,Comprehensive MCO
"New Mexico",Quay,Bcbs,"Pediatric Dental",97,222,2,43.69%,10,49:01:00,2021,Comprehensive MCO
"New Mexico",Quay,"Western Sky Community Care","Pediatric Dental",30,77,2,38.96%,11,15:01,2022,Comprehensive MCO
"New Mexico",Quay,"Presbyterian Hp","Pediatric Dental",142,465,1,30.54%,8,142:01:00,2022,Comprehensive MCO
"New Mexico",Quay,Bcbs,"Pediatric Dental",143,285,2,50.18%,9,72:01:00,2022,Comprehensive MCO
"New Mexico",Quay,"Western Sky Community Care","Pediatric Dental",51,127,1,40.16%,9,51:01:00,2023,Comprehensive MCO
"New Mexico",Quay,"Presbyterian Hp","Pediatric Dental",156,611,0,25.53%,10,0,2023,Comprehensive MCO
"New Mexico",Quay,Bcbs,"Pediatric Dental",180,394,1,45.69%,13,180:01:00,2023,Comprehensive MCO
"New Mexico",Quay,"Western Sky Community Care","Pediatric Dental",53,154,1,34.42%,6,53:01:00,2024,Comprehensive MCO
"New Mexico",Quay,"United Healthcare","Pediatric Dental",*,*,0,15.63%,9,*,2024,Comprehensive MCO
"New Mexico",Quay,"Presbyterian Hp","Pediatric Dental",316,971,1,32.54%,8,316:01:00,2024,Comprehensive MCO
"New Mexico",Quay,Molina,"Pediatric Dental",*,*,1,17.95%,7,*,2024,Comprehensive MCO
"New Mexico",Quay,Bcbs,"Pediatric Dental",292,669,1,43.65%,9,292:01:00,2024,Comprehensive MCO
"New Mexico","Rio Arriba","Western Sky Community Care","Pediatric Dental",60,190,12,31.58%,7,5:01,2020,Comprehensive MCO
"New Mexico","Rio Arriba","Presbyterian Hp","Pediatric Dental",754,"1,938",16,38.91%,7,48:01:00,2020,Comprehensive MCO
"New Mexico","Rio Arriba",Bcbs,"Pediatric Dental",300,827,16,36.28%,8,19:01,2020,Comprehensive MCO
"New Mexico","Rio Arriba","Western Sky Community Care","Pediatric Dental",88,229,12,38.43%,9,8:01,2021,Comprehensive MCO
"New Mexico","Rio Arriba","Presbyterian Hp","Pediatric Dental","1,160","2,335",15,49.68%,8,78:01:00,2021,Comprehensive MCO
"New Mexico","Rio Arriba",Bcbs,"Pediatric Dental",468,"1,021",15,45.84%,9,32:01:00,2021,Comprehensive MCO
"New Mexico","Rio Arriba","Western Sky Community Care","Pediatric Dental",131,304,12,43.09%,8,11:01,2022,Comprehensive MCO
"New Mexico","Rio Arriba","Presbyterian Hp","Pediatric Dental","1,460","2,955",14,49.41%,8,105:01:00,2022,Comprehensive MCO
"New Mexico","Rio Arriba",Bcbs,"Pediatric Dental",570,"1,268",14,44.95%,9,41:01:00,2022,Comprehensive MCO
"New Mexico","Rio Arriba","Western Sky Community Care","Pediatric Dental",165,427,9,38.64%,8,19:01,2023,Comprehensive MCO
"New Mexico","Rio Arriba","Presbyterian Hp","Pediatric Dental","1,924","3,738",12,51.47%,9,161:01:00,2023,Comprehensive MCO
"New Mexico","Rio Arriba",Bcbs,"Pediatric Dental",773,"1,666",12,46.40%,9,65:01:00,2023,Comprehensive MCO
"New Mexico","Rio Arriba","Western Sky Community Care","Pediatric Dental",176,579,5,30.40%,6,36:01:00,2024,Comprehensive MCO
"New Mexico","Rio Arriba","United Healthcare","Pediatric Dental",32,355,2,9.01%,5,16:01,2024,Comprehensive MCO
"New Mexico","Rio Arriba","Presbyterian Hp","Pediatric Dental","2,620","5,113",6,51.24%,9,437:01:00,2024,Comprehensive MCO
"New Mexico","Rio Arriba",Molina,"Pediatric Dental",59,502,4,11.75%,8,15:01,2024,Comprehensive MCO
"New Mexico","Rio Arriba",Bcbs,"Pediatric Dental","1,126","2,423",6,46.47%,10,188:01:00,2024,Comprehensive MCO
"New Mexico",Roosevelt,"Western Sky Community Care","Pediatric Dental",25,75,1,33.33%,7,25:01:00,2020,Comprehensive MCO
"New Mexico",Roosevelt,"Presbyterian Hp","Pediatric Dental",142,378,1,37.57%,7,142:01:00,2020,Comprehensive MCO
"New Mexico",Roosevelt,Bcbs,"Pediatric Dental",133,320,1,41.56%,8,133:01:00,2020,Comprehensive MCO
"New Mexico",Roosevelt,"Western Sky Community Care","Pediatric Dental",24,82,1,29.27%,9,24:01:00,2021,Comprehensive MCO
"New Mexico",Roosevelt,"Presbyterian Hp","Pediatric Dental",153,362,1,42.27%,7,153:01:00,2021,Comprehensive MCO
"New Mexico",Roosevelt,Bcbs,"Pediatric Dental",164,358,1,45.81%,8,164:01:00,2021,Comprehensive MCO
"New Mexico",Roosevelt,"Western Sky Community Care","Pediatric Dental",26,100,0,26.00%,7,0,2022,Comprehensive MCO
"New Mexico",Roosevelt,"Presbyterian Hp","Pediatric Dental",158,381,2,41.47%,8,79:01:00,2022,Comprehensive MCO
"New Mexico",Roosevelt,Bcbs,"Pediatric Dental",154,377,2,40.85%,9,77:01:00,2022,Comprehensive MCO
"New Mexico",Roosevelt,"Western Sky Community Care","Pediatric Dental",39,117,1,33.33%,9,39:01:00,2023,Comprehensive MCO
"New Mexico",Roosevelt,"Presbyterian Hp","Pediatric Dental",167,424,1,39.39%,8,167:01:00,2023,Comprehensive MCO
"New Mexico",Roosevelt,Bcbs,"Pediatric Dental",191,400,1,47.75%,12,191:01:00,2023,Comprehensive MCO
"New Mexico",Roosevelt,"Western Sky Community Care","Pediatric Dental",31,112,1,27.68%,6,31:01:00,2024,Comprehensive MCO
"New Mexico",Roosevelt,"United Healthcare","Pediatric Dental",14,64,1,21.88%,8,14:01,2024,Comprehensive MCO
"New Mexico",Roosevelt,"Presbyterian Hp","Pediatric Dental",170,443,1,38.37%,6,170:01:00,2024,Comprehensive MCO
"New Mexico",Roosevelt,Molina,"Pediatric Dental",13,97,1,13.40%,7,13:01,2024,Comprehensive MCO
"New Mexico",Roosevelt,Bcbs,"Pediatric Dental",233,484,1,48.14%,10,233:01:00,2024,Comprehensive MCO
"New Mexico","San Juan","Western Sky Community Care","Pediatric Dental",221,602,22,36.71%,8,11:01,2020,Comprehensive MCO
"New Mexico","San Juan","Presbyterian Hp","Pediatric Dental","2,264","4,556",30,49.69%,8,76:01:00,2020,Comprehensive MCO
"New Mexico","San Juan",Bcbs,"Pediatric Dental",738,"1,834",31,40.24%,8,24:01:00,2020,Comprehensive MCO
"New Mexico","San Juan","Western Sky Community Care","Pediatric Dental",322,826,22,38.98%,9,15:01,2021,Comprehensive MCO
"New Mexico","San Juan","Presbyterian Hp","Pediatric Dental","3,063","5,545",34,55.24%,9,91:01:00,2021,Comprehensive MCO
"New Mexico","San Juan",Bcbs,"Pediatric Dental","1,026","2,271",35,45.18%,9,30:01:00,2021,Comprehensive MCO
"New Mexico","San Juan","Western Sky Community Care","Pediatric Dental",387,"1,037",13,37.32%,8,30:01:00,2022,Comprehensive MCO
"New Mexico","San Juan","Presbyterian Hp","Pediatric Dental","4,150","7,128",31,58.22%,10,134:01:00,2022,Comprehensive MCO
"New Mexico","San Juan",Bcbs,"Pediatric Dental","1,385","2,873",31,48.21%,10,45:01:00,2022,Comprehensive MCO
"New Mexico","San Juan","Western Sky Community Care","Pediatric Dental",496,"1,450",15,34.21%,7,34:01:00,2023,Comprehensive MCO
"New Mexico","San Juan","Presbyterian Hp","Pediatric Dental","5,422","9,503",35,57.06%,10,155:01:00,2023,Comprehensive MCO
"New Mexico","San Juan",Bcbs,"Pediatric Dental","1,843","3,764",35,48.96%,10,53:01:00,2023,Comprehensive MCO
"New Mexico","San Juan","Western Sky Community Care","Pediatric Dental",608,"1,720",14,35.35%,6,44:01:00,2024,Comprehensive MCO
"New Mexico","San Juan","United Healthcare","Pediatric Dental",147,"1,039",9,14.15%,6,17:01,2024,Comprehensive MCO
"New Mexico","San Juan","Presbyterian Hp","Pediatric Dental","7,937","13,468",31,58.93%,10,257:01:00,2024,Comprehensive MCO
"New Mexico","San Juan",Molina,"Pediatric Dental",276,"1,203",21,22.94%,6,14:01,2024,Comprehensive MCO
"New Mexico","San Juan",Bcbs,"Pediatric Dental","2,890","5,702",31,50.68%,10,94:01:00,2024,Comprehensive MCO
"New Mexico","San Miguel","Western Sky Community Care","Pediatric Dental",27,119,4,22.69%,8,7:01,2020,Comprehensive MCO
"New Mexico","San Miguel","Presbyterian Hp","Pediatric Dental",523,"1,200",3,43.58%,7,175:01:00,2020,Comprehensive MCO
"New Mexico","San Miguel",Bcbs,"Pediatric Dental",192,449,4,42.76%,8,48:01:00,2020,Comprehensive MCO
"New Mexico","San Miguel","Western Sky Community Care","Pediatric Dental",56,147,4,38.10%,8,14:01,2021,Comprehensive MCO
"New Mexico","San Miguel","Presbyterian Hp","Pediatric Dental",710,"1,389",5,51.12%,8,142:01:00,2021,Comprehensive MCO
"New Mexico","San Miguel",Bcbs,"Pediatric Dental",254,529,6,48.02%,9,43:01:00,2021,Comprehensive MCO
"New Mexico","San Miguel","Western Sky Community Care","Pediatric Dental",92,219,4,42.01%,8,23:01,2022,Comprehensive MCO
"New Mexico","San Miguel","Presbyterian Hp","Pediatric Dental",926,"1,777",6,52.11%,7,155:01:00,2022,Comprehensive MCO
"New Mexico","San Miguel",Bcbs,"Pediatric Dental",352,668,6,52.69%,9,59:01:00,2022,Comprehensive MCO
"New Mexico","San Miguel","Western Sky Community Care","Pediatric Dental",147,359,5,40.95%,9,30:01:00,2023,Comprehensive MCO
"New Mexico","San Miguel","Presbyterian Hp","Pediatric Dental","1,162","2,379",4,48.84%,9,291:01:00,2023,Comprehensive MCO
"New Mexico","San Miguel",Bcbs,"Pediatric Dental",402,853,4,47.13%,11,101:01:00,2023,Comprehensive MCO
"New Mexico","San Miguel","Western Sky Community Care","Pediatric Dental",152,479,3,31.73%,5,51:01:00,2024,Comprehensive MCO
"New Mexico","San Miguel","United Healthcare","Pediatric Dental",73,260,2,28.08%,5,37:01:00,2024,Comprehensive MCO
"New Mexico","San Miguel","Presbyterian Hp","Pediatric Dental","1,667","3,356",3,49.67%,8,556:01:00,2024,Comprehensive MCO
"New Mexico","San Miguel",Molina,"Pediatric Dental",20,315,1,6.35%,9,20:01,2024,Comprehensive MCO
"New Mexico","San Miguel",Bcbs,"Pediatric Dental",559,"1,309",2,42.70%,10,280:01:00,2024,Comprehensive MCO
"New Mexico",Sandoval,"Western Sky Community Care","Pediatric Dental",231,765,37,30.20%,8,7:01,2020,Comprehensive MCO
"New Mexico",Sandoval,"Presbyterian Hp","Pediatric Dental","2,856","6,624",44,43.12%,8,65:01:00,2020,Comprehensive MCO
"New Mexico",Sandoval,Bcbs,"Pediatric Dental","1,422","3,108",45,45.75%,8,32:01:00,2020,Comprehensive MCO
"New Mexico",Sandoval,"Western Sky Community Care","Pediatric Dental",351,864,31,40.63%,8,12:01,2021,Comprehensive MCO
"New Mexico",Sandoval,"Presbyterian Hp","Pediatric Dental","3,606","7,566",40,47.66%,8,91:01:00,2021,Comprehensive MCO
"New Mexico",Sandoval,Bcbs,"Pediatric Dental","1,869","3,590",40,52.06%,9,47:01:00,2021,Comprehensive MCO
"New Mexico",Sandoval,"Western Sky Community Care","Pediatric Dental",403,"1,050",31,38.38%,8,13:01,2022,Comprehensive MCO
"New Mexico",Sandoval,"Presbyterian Hp","Pediatric Dental","4,779","8,867",40,53.90%,8,120:01:00,2022,Comprehensive MCO
"New Mexico",Sandoval,Bcbs,"Pediatric Dental","2,211","4,162",39,53.12%,9,57:01:00,2022,Comprehensive MCO
"New Mexico",Sandoval,"Western Sky Community Care","Pediatric Dental",511,"1,442",27,35.44%,8,19:01,2023,Comprehensive MCO
"New Mexico",Sandoval,"Presbyterian Hp","Pediatric Dental","5,554","11,037",33,50.32%,8,169:01:00,2023,Comprehensive MCO
"New Mexico",Sandoval,Bcbs,"Pediatric Dental","2,612","5,139",33,50.83%,9,80:01:00,2023,Comprehensive MCO
"New Mexico",Sandoval,"Western Sky Community Care","Pediatric Dental",467,"1,593",19,29.32%,6,25:01:00,2024,Comprehensive MCO
"New Mexico",Sandoval,"United Healthcare","Pediatric Dental",135,"1,291",14,10.46%,6,10:01,2024,Comprehensive MCO
"New Mexico",Sandoval,"Presbyterian Hp","Pediatric Dental","7,073","14,256",28,49.61%,9,253:01:00,2024,Comprehensive MCO
"New Mexico",Sandoval,Molina,"Pediatric Dental",196,"1,234",22,15.88%,7,9:01,2024,Comprehensive MCO
"New Mexico",Sandoval,Bcbs,"Pediatric Dental","3,421","6,770",30,50.53%,9,115:01:00,2024,Comprehensive MCO
"New Mexico","Santa Fe","Western Sky Community Care","Pediatric Dental",258,673,16,38.34%,8,17:01,2020,Comprehensive MCO
"New Mexico","Santa Fe","Presbyterian Hp","Pediatric Dental","2,853","5,398",27,52.85%,8,106:01:00,2020,Comprehensive MCO
"New Mexico","Santa Fe",Bcbs,"Pediatric Dental","1,039","2,104",29,49.38%,8,36:01:00,2020,Comprehensive MCO
"New Mexico","Santa Fe","Western Sky Community Care","Pediatric Dental",338,752,20,44.95%,9,17:01,2021,Comprehensive MCO
"New Mexico","Santa Fe","Presbyterian Hp","Pediatric Dental","3,866","6,337",29,61.01%,8,134:01:00,2021,Comprehensive MCO
"New Mexico","Santa Fe",Bcbs,"Pediatric Dental","1,344","2,457",29,54.70%,9,47:01:00,2021,Comprehensive MCO
"New Mexico","Santa Fe","Western Sky Community Care","Pediatric Dental",433,986,21,43.91%,8,21:01,2022,Comprehensive MCO
"New Mexico","Santa Fe","Presbyterian Hp","Pediatric Dental","4,421","7,369",27,59.99%,9,164:01:00,2022,Comprehensive MCO
"New Mexico","Santa Fe",Bcbs,"Pediatric Dental","1,617","2,991",27,54.06%,9,60:01:00,2022,Comprehensive MCO
"New Mexico","Santa Fe","Western Sky Community Care","Pediatric Dental",545,"1,386",23,39.32%,9,24:01:00,2023,Comprehensive MCO
"New Mexico","Santa Fe","Presbyterian Hp","Pediatric Dental","5,531","9,345",28,59.19%,9,198:01:00,2023,Comprehensive MCO
"New Mexico","Santa Fe",Bcbs,"Pediatric Dental","2,132","3,859",28,55.25%,10,77:01:00,2023,Comprehensive MCO
"New Mexico","Santa Fe","Western Sky Community Care","Pediatric Dental",610,"1,906",21,32.00%,6,30:01:00,2024,Comprehensive MCO
"New Mexico","Santa Fe","United Healthcare","Pediatric Dental",178,"1,332",14,13.36%,5,13:01,2024,Comprehensive MCO
"New Mexico","Santa Fe","Presbyterian Hp","Pediatric Dental","7,546","13,191",28,57.21%,9,270:01:00,2024,Comprehensive MCO
"New Mexico","Santa Fe",Molina,"Pediatric Dental",230,"1,379",20,16.68%,9,12:01,2024,Comprehensive MCO
"New Mexico","Santa Fe",Bcbs,"Pediatric Dental","3,007","5,892",29,51.04%,10,104:01:00,2024,Comprehensive MCO
"New Mexico",Sierra,"Western Sky Community Care","Pediatric Dental",39,120,2,32.50%,7,20:01,2020,Comprehensive MCO
"New Mexico",Sierra,"Presbyterian Hp","Pediatric Dental",205,565,2,36.28%,6,103:01:00,2020,Comprehensive MCO
"New Mexico",Sierra,Bcbs,"Pediatric Dental",137,320,2,42.81%,9,69:01:00,2020,Comprehensive MCO
"New Mexico",Sierra,"Western Sky Community Care","Pediatric Dental",53,159,0,33.33%,8,0,2021,Comprehensive MCO
"New Mexico",Sierra,"Presbyterian Hp","Pediatric Dental",299,648,0,46.14%,7,0,2021,Comprehensive MCO
"New Mexico",Sierra,Bcbs,"Pediatric Dental",200,412,0,48.54%,10,0,2021,Comprehensive MCO
"New Mexico",Sierra,"Western Sky Community Care","Pediatric Dental",80,195,0,41.03%,7,0,2022,Comprehensive MCO
"New Mexico",Sierra,"Presbyterian Hp","Pediatric Dental",377,877,0,42.99%,7,0,2022,Comprehensive MCO
"New Mexico",Sierra,Bcbs,"Pediatric Dental",302,571,0,52.89%,10,0,2022,Comprehensive MCO
"New Mexico",Sierra,"Western Sky Community Care","Pediatric Dental",130,328,0,39.63%,6,0,2023,Comprehensive MCO
"New Mexico",Sierra,"Presbyterian Hp","Pediatric Dental",556,"1,207",0,46.06%,7,0,2023,Comprehensive MCO
"New Mexico",Sierra,Bcbs,"Pediatric Dental",397,781,0,50.83%,11,0,2023,Comprehensive MCO
"New Mexico",Sierra,"Western Sky Community Care","Pediatric Dental",169,462,0,36.58%,5,0,2024,Comprehensive MCO
"New Mexico",Sierra,"United Healthcare","Pediatric Dental",60,212,0,28.30%,7,0,2024,Comprehensive MCO
"New Mexico",Sierra,"Presbyterian Hp","Pediatric Dental",947,"1,920",0,49.32%,7,0,2024,Comprehensive MCO
"New Mexico",Sierra,Molina,"Pediatric Dental",81,266,0,30.45%,7,0,2024,Comprehensive MCO
"New Mexico",Sierra,Bcbs,"Pediatric Dental",621,"1,270",0,48.90%,8,0,2024,Comprehensive MCO
"New Mexico",Socorro,"Western Sky Community Care","Pediatric Dental",21,53,5,39.62%,7,5:01,2020,Comprehensive MCO
"New Mexico",Socorro,"Presbyterian Hp","Pediatric Dental",341,772,6,44.17%,9,57:01:00,2020,Comprehensive MCO
"New Mexico",Socorro,Bcbs,"Pediatric Dental",123,271,5,45.39%,9,25:01:00,2020,Comprehensive MCO
"New Mexico",Socorro,"Western Sky Community Care","Pediatric Dental",27,71,6,38.03%,8,5:01,2021,Comprehensive MCO
"New Mexico",Socorro,"Presbyterian Hp","Pediatric Dental",414,873,6,47.42%,8,69:01:00,2021,Comprehensive MCO
"New Mexico",Socorro,Bcbs,"Pediatric Dental",134,324,5,41.36%,9,27:01:00,2021,Comprehensive MCO
"New Mexico",Socorro,"Western Sky Community Care","Pediatric Dental",39,94,7,41.49%,8,6:01,2022,Comprehensive MCO
"New Mexico",Socorro,"Presbyterian Hp","Pediatric Dental",554,"1,140",7,48.60%,9,80:01:00,2022,Comprehensive MCO
"New Mexico",Socorro,Bcbs,"Pediatric Dental",187,404,5,46.29%,11,38:01:00,2022,Comprehensive MCO
"New Mexico",Socorro,"Western Sky Community Care","Pediatric Dental",57,153,5,37.25%,8,12:01,2023,Comprehensive MCO
"New Mexico",Socorro,"Presbyterian Hp","Pediatric Dental",716,"1,478",5,48.44%,10,144:01:00,2023,Comprehensive MCO
"New Mexico",Socorro,Bcbs,"Pediatric Dental",256,527,5,48.58%,10,52:01:00,2023,Comprehensive MCO
"New Mexico",Socorro,"Western Sky Community Care","Pediatric Dental",79,196,3,40.31%,7,27:01:00,2024,Comprehensive MCO
"New Mexico",Socorro,"United Healthcare","Pediatric Dental",*,*,2,3.68%,7,*,2024,Comprehensive MCO
"New Mexico",Socorro,"Presbyterian Hp","Pediatric Dental","1,068","2,203",5,48.48%,10,214:01:00,2024,Comprehensive MCO
"New Mexico",Socorro,Molina,"Pediatric Dental",*,*,2,13.99%,6,*,2024,Comprehensive MCO
"New Mexico",Socorro,Bcbs,"Pediatric Dental",365,814,5,44.84%,10,73:01:00,2024,Comprehensive MCO
"New Mexico",Taos,"Western Sky Community Care","Pediatric Dental",80,211,3,37.91%,6,27:01:00,2020,Comprehensive MCO
"New Mexico",Taos,"Presbyterian Hp","Pediatric Dental",631,"1,274",4,49.53%,7,158:01:00,2020,Comprehensive MCO
"New Mexico",Taos,Bcbs,"Pediatric Dental",174,487,4,35.73%,7,44:01:00,2020,Comprehensive MCO
"New Mexico",Taos,"Western Sky Community Care","Pediatric Dental",101,226,4,44.69%,7,26:01:00,2021,Comprehensive MCO
"New Mexico",Taos,"Presbyterian Hp","Pediatric Dental",839,"1,522",6,55.12%,8,140:01:00,2021,Comprehensive MCO
"New Mexico",Taos,Bcbs,"Pediatric Dental",235,567,6,41.45%,8,40:01:00,2021,Comprehensive MCO
"New Mexico",Taos,"Western Sky Community Care","Pediatric Dental",116,282,2,41.13%,8,58:01:00,2022,Comprehensive MCO
"New Mexico",Taos,"Presbyterian Hp","Pediatric Dental","1,035","1,853",4,55.86%,7,259:01:00,2022,Comprehensive MCO
"New Mexico",Taos,Bcbs,"Pediatric Dental",264,646,4,40.87%,7,66:01:00,2022,Comprehensive MCO
"New Mexico",Taos,"Western Sky Community Care","Pediatric Dental",142,379,2,37.47%,7,71:01:00,2023,Comprehensive MCO
"New Mexico",Taos,"Presbyterian Hp","Pediatric Dental","1,335","2,369",4,56.35%,8,334:01:00,2023,Comprehensive MCO
"New Mexico",Taos,Bcbs,"Pediatric Dental",394,904,4,43.58%,8,99:01:00,2023,Comprehensive MCO
"New Mexico",Taos,"Western Sky Community Care","Pediatric Dental",131,457,1,28.67%,5,131:01:00,2024,Comprehensive MCO
"New Mexico",Taos,"United Healthcare","Pediatric Dental",34,290,1,11.72%,5,34:01:00,2024,Comprehensive MCO
"New Mexico",Taos,"Presbyterian Hp","Pediatric Dental","1,716","3,227",5,53.18%,8,344:01:00,2024,Comprehensive MCO
"New Mexico",Taos,Molina,"Pediatric Dental",28,293,2,9.56%,5,14:01,2024,Comprehensive MCO
"New Mexico",Taos,Bcbs,"Pediatric Dental",572,"1,296",4,44.14%,8,143:01:00,2024,Comprehensive MCO
"New Mexico",Torrance,"Western Sky Community Care","Pediatric Dental",42,152,1,27.63%,9,42:01:00,2020,Comprehensive MCO
"New Mexico",Torrance,"Presbyterian Hp","Pediatric Dental",435,"1,182",1,36.80%,7,435:01:00,2020,Comprehensive MCO
"New Mexico",Torrance,Bcbs,"Pediatric Dental",222,575,1,38.61%,9,222:01:00,2020,Comprehensive MCO
"New Mexico",Torrance,"Western Sky Community Care","Pediatric Dental",75,202,1,37.13%,10,75:01:00,2021,Comprehensive MCO
"New Mexico",Torrance,"Presbyterian Hp","Pediatric Dental",608,"1,412",1,43.06%,8,608:01:00,2021,Comprehensive MCO
"New Mexico",Torrance,Bcbs,"Pediatric Dental",342,740,1,46.22%,10,342:01:00,2021,Comprehensive MCO
"New Mexico",Torrance,"Western Sky Community Care","Pediatric Dental",106,239,1,44.35%,9,106:01:00,2022,Comprehensive MCO
"New Mexico",Torrance,"Presbyterian Hp","Pediatric Dental",923,"1,747",1,52.83%,8,923:01:00,2022,Comprehensive MCO
"New Mexico",Torrance,Bcbs,"Pediatric Dental",464,931,1,49.84%,10,464:01:00,2022,Comprehensive MCO
"New Mexico",Torrance,"Western Sky Community Care","Pediatric Dental",127,307,1,41.37%,7,127:01:00,2023,Comprehensive MCO
"New Mexico",Torrance,"Presbyterian Hp","Pediatric Dental","1,226","2,272",1,53.96%,9,1226:01:00,2023,Comprehensive MCO
